DEPARTAMENTO,NOM_EST,CODIGO,LON,LAT,ALT
TUMBES,PUERTO PIZARRO,qc00000132,80.39503889,3.503797222,2
TUMBES,EL SALTO,qc00000135,80.2802,3.451708333,4
PIURA,MIRAFLORES,qc00000207,80.61654167,5.175277778,34
PIURA,MALLARES,qc00000208,80.73555556,4.855741667,44
SAN MARTIN,SAPOSOA,qc00000211,76.76694444,6.900277778,320
SAN MARTIN,NARANJILLO,qc00000219,77.38722222,5.826111111,890
PIURA,LA ESPERANZA,qc00000230,81.05969167,4.921136111,7
PIURA,CHUSIS,qc00000231,80.81275,5.527563889,8
PIURA,MORROPON,qc00000235,79.971075,5.194644444,128
PIURA,AYABACA,qc00000237,79.71076667,4.637755556,2633
PIURA,SAUSAL DE CULUCAN,qc00000238,79.75792222,4.752375,997
CAJAMARCA,TABACONAS,qc00000240,79.284925,5.315230556,1605
CAJAMARCA,EL LIMON,qc00000241,79.31722222,5.917777778,1110
PIURA,SAN MIGUEL,qc00000247,80.68435833,5.246202778,24
PIURA,HUARMACA,qc00000248,79.52542222,5.565986111,2178
CAJAMARCA,CHONTALI,qc00000250,79.09,5.643888889,1626.5
PIURA,CHULUCANAS,qc00000255,80.16956389,5.108433333,89
LORETO,SAN RAMON,qc00000278,76.08361111,5.933611111,120
LORETO,GENARO HERRERA,qc00000281,73.64972222,4.905705556,126
LAMBAYEQUE,LAMBAYEQUE,qc00000301,79.90983611,6.731527778,18
CAJAMARCA,AUGUSTO WEBERBAUER,qc00000304,78.49309444,7.167494444,2673
SAN MARTIN,EL PORVENIR,qc00000310,76.31694444,6.583611111,230
LAMBAYEQUE,CAYALTI,qc00000320,79.54701389,6.880794444,90
SAN MARTIN,TABALOSOS,qc00000322,76.6125,6.416388889,480
LA LIBERTAD,TALLA (GUADALUPE),qc00000325,79.41905833,7.280091667,117
LAMBAYEQUE,REQUE,qc00000332,79.8355,6.886130556,13
LAMBAYEQUE,JAYANCA (LA VINA),qc00000333,79.76869167,6.331591667,78
LAMBAYEQUE,EL ESPINAL,qc00000340,79.20165833,6.817463889,371
CAJAMARCA,LLAMA,qc00000341,79.12261944,6.514430556,2096
CAJAMARCA,CUTERVO,qc00000352,78.80512222,6.379638889,2668
CAJAMARCA,COCHABAMBA,qc00000353,78.88860278,6.460088889,1653
CAJAMARCA,SAN JUAN,qc00000369,78.49105833,7.297561111,2228
CAJAMARCA,SAN MARCOS,qc00000370,78.1727,7.322486111,2287
CAJAMARCA,CAJABAMBA,qc00000373,78.05130833,7.621663889,2625
LA LIBERTAD,HUAMACHUCO,qc00000374,78.04013333,7.819158333,3186
SAN MARTIN,LAMAS,qc00000383,76.51722222,6.422777778,790
SAN MARTIN,SAUCE,qc00000385,76.20027778,6.691944444,580
LORETO,JUANCITO,qc00000390,74.86694444,6.033611111,124
CAJAMARCA,ASUNCION,qc00000393,78.515825,7.326044444,2270
HUANUCO,HUANUCO,qc00000404,76.24855556,9.952011111,1947
ANCASH,BUENA VISTA,qc00000435,78.20825,9.433705556,213
ANCASH,RECUAY,qc00000441,77.45365278,9.729194444,3431
HUANUCO,TINGO MARIA,qc00000468,76.00044167,9.3085,660
HUANUCO,TULUMAYO,qc00000469,76.00943611,9.147055556,640
LIMA,ALCANTARILLA,qc00000501,77.55010556,11.06068056,131
JUNIN,JAUJA,qc00000503,75.48688889,11.78663889,3378
LIMA,LOMAS DE LACHAY,qc00000534,77.36839167,11.36014167,384
LIMA,SANTA ROSA,qc00000536,77.38361111,11.21694444,380
LIMA,HUAYAN,qc00000539,77.12200556,11.45280833,346
LIMA,OYON,qc00000541,76.76870278,10.66769167,3667
LIMA,PICOY,qc00000542,76.73701111,10.92161667,2920
LIMA,NANA,qc00000543,76.84194444,11.98744444,543
LIMA,CANTA,qc00000547,76.62569444,11.47121389,2818
LIMA,MATUCANA,qc00000548,76.37802778,11.83912778,2417
HUANUCO,SAN RAFAEL,qc00000552,76.17651944,10.32924167,2722
CUSCO,GRANJA KCAYRA,qc00000607,71.87527778,13.55694444,3219
JUNIN,VIQUES,qc00000608,75.23527778,12.16305556,3186
LIMA,CANETE,qc00000616,76.33041944,13.07475,116
